BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
369189,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369190,"DINERS CLUB INTERNATIONAL",CREDIT,PERSONAL,"DC JAPAN",,,JP,JPN,JAPAN
369191,"DINERS CLUB INTERNATIONAL",CREDIT,PERSONAL,"DC JAPAN",,,JP,JPN,JAPAN
369192,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369193,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369194,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369195,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369196,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369197,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369198,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369199,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369200,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,BR,BRA,BRAZIL
369201,"DINERS CLUB INTERNATIONAL",CREDIT,,"DC BRAZIL",,,BR,BRA,BRAZIL
369202,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,BR,BRA,BRAZIL
369203,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,BR,BRA,BRAZIL
369204,"DINERS CLUB INTERNATIONAL",CREDIT,,"DC BRAZIL",,,BR,BRA,BRAZIL
369205,"DINERS CLUB INTERNATIONAL",CREDIT,,"DC BRAZIL",,,BR,BRA,BRAZIL
369206,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,BR,BRA,BRAZIL
369207,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369208,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369209,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369210,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369211,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369212,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369213,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369214,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369215,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,"DC JAPAN",,,JP,JPN,JAPAN
369216,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369217,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369218,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369219,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369220,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369221,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369222,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369223,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369224,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369225,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,GB,GBR,"UNITED KINGDOM"
369226,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369227,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369228,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369229,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CA,CAN,CANADA
369230,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369231,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369232,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369233,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369234,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,BR,BRA,BRAZIL
369235,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369236,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369237,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369238,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369239,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369240,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369241,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369242,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369243,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369244,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369245,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369246,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369247,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369248,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369249,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369250,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369251,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369252,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369253,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369254,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369255,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,DE,DEU,GERMANY
369256,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369257,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369258,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,RO,ROU,ROMANIA
369259,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369260,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369261,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369262,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369263,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369264,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369265,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369266,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369267,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369268,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369269,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369270,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369271,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369272,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369273,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369274,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369275,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369276,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369277,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369278,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369279,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369280,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369281,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369282,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369283,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369284,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369285,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,TN,TUN,TUNISIA
369286,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369287,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369288,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369289,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369290,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369291,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369292,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369293,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369294,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369295,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369296,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369297,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369298,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369299,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369300,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369301,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369302,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369303,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369304,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369305,"DINERS CLUB INTERNATIONAL",CREDIT,STANDARD,,,,CN,CHN,CHINA
369306,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
369307,"DINERS CLUB INTERNATIONAL",CREDIT,,,,,US,USA,"UNITED STATES"
